lecture_number,lecture_title,slide_number,slide_title,core_concept,slide_role,concept_group,prerequisite_concept,next_concept,estimated_teaching_minutes,logical_boundary_after_slide,boundary_strength,boundary_reason,notes_for_future_script
5,Modern CNN,1,Modern CNN Architecture,Modern CNN Architecture,visualization,Modern CNN evolution overview,Convolutional network basics,Overview,1.0,no,weak,Continue through the current concept group 'Modern CNN evolution overview'; stopping here would interrupt the conceptual sequence.,Describe the visual structure explicitly for online viewers who may be watching on a small screen.
5,Modern CNN,2,Overview,Overview,transition,Modern CNN evolution overview,Modern CNN Architecture,Evolution of networks,0.7,no,weak,Continue through the current concept group 'Modern CNN evolution overview'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
5,Modern CNN,3,Evolution of networks,Evolution of networks,transition,Modern CNN evolution overview,Overview,Foundation Era Summary (1998–2014),0.7,no,weak,Continue through the current concept group 'Modern CNN evolution overview'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
5,Modern CNN,4,Foundation Era Summary (1998–2014),Foundation Era Summary (1998–2014),summary,Modern CNN evolution overview,Evolution of networks,Foundation CNN architectures,0.8,yes,strong,"Completes the concept group 'Modern CNN evolution overview' and the next slide begins 'Foundation CNN architectures'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Use this slide to consolidate the preceding concept group and prepare a checkpoint. Add a brief recap or checkpoint here before moving on.
5,Modern CNN,5,LeNet-5 (1998): The First Successful CNN,LeNet-5 (1998): The First Successful CNN,definition,LeNet AlexNet GAP and early CNN practice,Convolution pooling and classification heads,LeNet-5 (1998): Why Convolution Works,1.0,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
5,Modern CNN,6,LeNet-5 (1998): Why Convolution Works,LeNet-5 (1998): Why Convolution Works,motivation,LeNet AlexNet GAP and early CNN practice,LeNet-5 (1998): The First Successful CNN,AlexNet (2012): Starting Modern Deep Learning,0.9,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
5,Modern CNN,7,AlexNet (2012): Starting Modern Deep Learning,AlexNet (2012): Starting Modern Deep Learning,definition,LeNet AlexNet GAP and early CNN practice,LeNet-5 (1998): Why Convolution Works,AlexNet Architecture (2012): Large-Scale CNN Design,1.0,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
5,Modern CNN,8,AlexNet Architecture (2012): Large-Scale CNN Design,AlexNet Architecture (2012): Large-Scale CNN Design,visualization,LeNet AlexNet GAP and early CNN practice,AlexNet (2012): Starting Modern Deep Learning,Inside AlexNet: Layer Configuration and Feature Maps,1.0,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,Describe the visual structure explicitly for online viewers who may be watching on a small screen.
5,Modern CNN,9,Inside AlexNet: Layer Configuration and Feature Maps,Inside AlexNet: Layer Configuration and Feature Maps,definition,LeNet AlexNet GAP and early CNN practice,AlexNet Architecture (2012): Large-Scale CNN Design,AlexNet,1.0,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
5,Modern CNN,10,AlexNet,AlexNet,definition,LeNet AlexNet GAP and early CNN practice,Inside AlexNet: Layer Configuration and Feature Maps,Simplified AlexNet in PyTorch (Teaching Version),1.0,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
5,Modern CNN,11,Simplified AlexNet in PyTorch (Teaching Version),Simplified AlexNet in PyTorch (Teaching Version),algorithm,LeNet AlexNet GAP and early CNN practice,AlexNet,Modernized AlexNet-Style CNN (Simplified),1.3,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,"Narrate the procedure in order and emphasize inputs, outputs, and update rules."
5,Modern CNN,12,Modernized AlexNet-Style CNN (Simplified),Modernized AlexNet-Style CNN (Simplified),definition,LeNet AlexNet GAP and early CNN practice,Simplified AlexNet in PyTorch (Teaching Version),Global Average Pooling (GAP),1.0,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
5,Modern CNN,13,Global Average Pooling (GAP),Global Average Pooling (GAP),definition,LeNet AlexNet GAP and early CNN practice,Modernized AlexNet-Style CNN (Simplified),Global Average Pooling Enables Variable Input Size,1.0,no,weak,Continue through the current concept group 'LeNet AlexNet GAP and early CNN practice'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
5,Modern CNN,14,Global Average Pooling Enables Variable Input Size,Global Average Pooling Enables Variable Input Size,definition,LeNet AlexNet GAP and early CNN practice,Global Average Pooling (GAP),Batch normalization and depth,1.0,yes,strong,"Completes the concept group 'LeNet AlexNet GAP and early CNN practice' and the next slide begins 'Batch normalization and depth'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
5,Modern CNN,15,Batch Normalization,Batch Normalization,definition,Batch normalization transition,Early CNN design,Overview,1.0,no,weak,Continue through the current concept group 'Batch normalization transition'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
5,Modern CNN,16,Overview,Overview,transition,Batch normalization transition,Batch Normalization,Depth and VGG,0.7,yes,medium,"Completes the concept group 'Batch normalization transition' and the next slide begins 'Depth and VGG'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Use this slide as a bridge; preview the next concept without overloading the slide. Add a brief recap or checkpoint here before moving on.
5,Modern CNN,17,Depth vs. Width in Neural Networks,Depth vs. Width in Neural Networks,transition,Depth width hierarchy and VGG,CNN feature hierarchy,Why Depth Matters in Practice,0.7,no,weak,Continue through the current concept group 'Depth width hierarchy and VGG'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
5,Modern CNN,18,Why Depth Matters in Practice,Why Depth Matters in Practice,motivation,Depth width hierarchy and VGG,Depth vs. Width in Neural Networks,Real-World Vision Is Hierarchical,0.9,no,weak,Continue through the current concept group 'Depth width hierarchy and VGG'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
