lecture_number,lecture_title,slide_number,slide_title,core_concept,slide_role,concept_group,prerequisite_concept,next_concept,estimated_teaching_minutes,logical_boundary_after_slide,boundary_strength,boundary_reason,notes_for_future_script
2,Metrics,1,Evaluating Classifiers,Evaluating Classifiers,motivation,Evaluation motivation,Classifier predictions,Why Evaluation Metrics Matter,0.9,no,weak,Continue through the current concept group 'Evaluation motivation'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
2,Metrics,2,Why Evaluation Metrics Matter,Why Evaluation Metrics Matter,motivation,Evaluation motivation,Evaluating Classifiers,Binary decision framing,0.9,yes,strong,"Completes the concept group 'Evaluation motivation' and the next slide begins 'Binary decision framing'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Use this slide to establish why the topic matters before adding formal detail. Add a brief recap or checkpoint here before moving on.
2,Metrics,3,Binary Classification,Binary Classification,definition,Binary decisions and confusion matrix,Classification scores,Score based models for binary classification,1.0,no,weak,Continue through the current concept group 'Binary decisions and confusion matrix'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
2,Metrics,4,Score based models for binary classification,Score based models for binary classification,definition,Binary decisions and confusion matrix,Binary Classification,From Scores to Class Decisions,1.0,no,weak,Continue through the current concept group 'Binary decisions and confusion matrix'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
2,Metrics,5,From Scores to Class Decisions,From Scores to Class Decisions,transition,Binary decisions and confusion matrix,Score based models for binary classification,Confusion Matrix at Threshold 0.5,0.7,no,weak,Continue through the current concept group 'Binary decisions and confusion matrix'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
2,Metrics,6,Confusion Matrix at Threshold 0.5,Confusion Matrix at Threshold 0.5,definition,Binary decisions and confusion matrix,From Scores to Class Decisions,Basic metrics,1.0,yes,strong,"Completes the concept group 'Binary decisions and confusion matrix' and the next slide begins 'Basic metrics'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
2,Metrics,7,Accuracy from the Confusion Matrix,Accuracy from the Confusion Matrix,transition,Accuracy precision recall specificity and F1,Confusion matrix counts,Limitation of Accuracy,0.7,no,weak,Continue through the current concept group 'Accuracy precision recall specificity and F1'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
2,Metrics,8,Limitation of Accuracy,Limitation of Accuracy,motivation,Accuracy precision recall specificity and F1,Accuracy from the Confusion Matrix,Imbalanced Data,0.9,no,weak,Continue through the current concept group 'Accuracy precision recall specificity and F1'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
2,Metrics,9,Imbalanced Data,Imbalanced Data,definition,Accuracy precision recall specificity and F1,Limitation of Accuracy,Sensitivity vs Specificity,1.0,no,weak,Continue through the current concept group 'Accuracy precision recall specificity and F1'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
2,Metrics,10,Sensitivity vs Specificity,Sensitivity vs Specificity,transition,Accuracy precision recall specificity and F1,Imbalanced Data,Precision,0.7,no,weak,Continue through the current concept group 'Accuracy precision recall specificity and F1'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
