lecture_number,lecture_title,slide_number,slide_title,core_concept,slide_role,concept_group,prerequisite_concept,next_concept,estimated_teaching_minutes,logical_boundary_after_slide,boundary_strength,boundary_reason,notes_for_future_script
11,Generative Model,1,Generative Model How Machines Learn to Create Data,Generative Model How Machines Learn to Create Data,transition,Generative modeling overview and learning types,Supervised deep learning,Supervised vs Unsupervised Learning,0.7,no,weak,Continue through the current concept group 'Generative modeling overview and learning types'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
11,Generative Model,2,Supervised vs Unsupervised Learning,Supervised vs Unsupervised Learning,transition,Generative modeling overview and learning types,Generative Model How Machines Learn to Create Data,Unsupervised learning bridge,0.7,yes,strong,"Completes the concept group 'Generative modeling overview and learning types' and the next slide begins 'Unsupervised learning bridge'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Use this slide as a bridge; preview the next concept without overloading the slide. Add a brief recap or checkpoint here before moving on.
11,Generative Model,3,Unsupervised Learning Example: K-Means Clustering,Unsupervised Learning Example: K-Means Clustering,example,Unsupervised learning bridge to generative models,Learning without labels,Unsupervised Learning Example: Density Estimation,1.2,no,weak,Continue through the current concept group 'Unsupervised learning bridge to generative models'; stopping here would interrupt the conceptual sequence.,Walk through the example step by step; avoid summarizing before the learner sees the complete case.
11,Generative Model,4,Unsupervised Learning Example: Density Estimation,Unsupervised Learning Example: Density Estimation,example,Unsupervised learning bridge to generative models,Unsupervised Learning Example: K-Means Clustering,From Unsupervised Learning to Generative Models,1.2,no,weak,Continue through the current concept group 'Unsupervised learning bridge to generative models'; stopping here would interrupt the conceptual sequence.,Walk through the example step by step; avoid summarizing before the learner sees the complete case.
11,Generative Model,5,From Unsupervised Learning to Generative Models,From Unsupervised Learning to Generative Models,transition,Unsupervised learning bridge to generative models,Unsupervised Learning Example: Density Estimation,Generative model goals,0.7,yes,strong,"Completes the concept group 'Unsupervised learning bridge to generative models' and the next slide begins 'Generative model goals'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Use this slide as a bridge; preview the next concept without overloading the slide. Add a brief recap or checkpoint here before moving on.
11,Generative Model,6,Two Goals of Generative Modeling,Two Goals of Generative Modeling,definition,Goals and families of generative models,Density estimation and sampling,End Goal of Generative Model,1.0,no,weak,Continue through the current concept group 'Goals and families of generative models'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
11,Generative Model,7,End Goal of Generative Model,End Goal of Generative Model,definition,Goals and families of generative models,Two Goals of Generative Modeling,Main Families of Generative Models,1.0,no,weak,Continue through the current concept group 'Goals and families of generative models'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
11,Generative Model,8,Main Families of Generative Models,Main Families of Generative Models,definition,Goals and families of generative models,End Goal of Generative Model,Autoencoders and VAEs,1.0,yes,strong,"Completes the concept group 'Goals and families of generative models' and the next slide begins 'Autoencoders and VAEs'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
11,Generative Model,9,Autoencoders: Learn by Reconstructing,Autoencoders: Learn by Reconstructing,definition,Autoencoders VAEs and latent spaces,Representation learning,Autoencoders: How It Is Trained,1.0,no,weak,Continue through the current concept group 'Autoencoders VAEs and latent spaces'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
11,Generative Model,10,Autoencoders: How It Is Trained,Autoencoders: How It Is Trained,definition,Autoencoders VAEs and latent spaces,Autoencoders: Learn by Reconstructing,"Why Autoencoders Matter, and Their Limitation",1.0,no,weak,Continue through the current concept group 'Autoencoders VAEs and latent spaces'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
11,Generative Model,11,"Why Autoencoders Matter, and Their Limitation","Why Autoencoders Matter, and Their Limitation",motivation,Autoencoders VAEs and latent spaces,Autoencoders: How It Is Trained,Variational Autoencoder: From Input to a Sampleable Latent Space,0.9,no,weak,Continue through the current concept group 'Autoencoders VAEs and latent spaces'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
11,Generative Model,12,Variational Autoencoder: From Input to a Sampleable Latent Space,Variational Autoencoder: From Input to a Sampleable Latent Space,transition,Autoencoders VAEs and latent spaces,"Why Autoencoders Matter, and Their Limitation",VAE Demo,0.7,no,weak,Continue through the current concept group 'Autoencoders VAEs and latent spaces'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
11,Generative Model,13,VAE Demo,VAE Demo,example,Autoencoders VAEs and latent spaces,Variational Autoencoder: From Input to a Sampleable Latent Space,GANs,1.2,yes,strong,"Completes the concept group 'Autoencoders VAEs and latent spaces' and the next slide begins 'GANs'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Walk through the example step by step; avoid summarizing before the learner sees the complete case. Add a brief recap or checkpoint here before moving on.
11,Generative Model,14,Generative Adversarial Networks (GANs),Generative Adversarial Networks (GANs),definition,GAN objectives strengths and weaknesses,Sampleable latent models,"GAN Training: Two Losses, Two Goals",1.0,no,weak,Continue through the current concept group 'GAN objectives strengths and weaknesses'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
11,Generative Model,15,"GAN Training: Two Losses, Two Goals","GAN Training: Two Losses, Two Goals",algorithm,GAN objectives strengths and weaknesses,Generative Adversarial Networks (GANs),GAN: Strengths and Weaknesses,1.3,no,weak,Continue through the current concept group 'GAN objectives strengths and weaknesses'; stopping here would interrupt the conceptual sequence.,"Narrate the procedure in order and emphasize inputs, outputs, and update rules."
11,Generative Model,16,GAN: Strengths and Weaknesses,GAN: Strengths and Weaknesses,definition,GAN objectives strengths and weaknesses,"GAN Training: Two Losses, Two Goals",Diffusion models,1.0,yes,strong,"Completes the concept group 'GAN objectives strengths and weaknesses' and the next slide begins 'Diffusion models'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
11,Generative Model,17,Diffusion Models,Diffusion Models,definition,Diffusion and latent conditional generation,Adversarial generation,Latent Conditional Diffusion Model,1.0,no,weak,Continue through the current concept group 'Diffusion and latent conditional generation'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
