lecture_number,lecture_title,slide_number,slide_title,core_concept,slide_role,concept_group,prerequisite_concept,next_concept,estimated_teaching_minutes,logical_boundary_after_slide,boundary_strength,boundary_reason,notes_for_future_script
7,LSTM,1,Recurrent Neural Networks LSTM Fundamentals and Sequence Modeling with PyTorch,Recurrent Neural Networks LSTM Fundamentals and Sequence Modeling with PyTorch,algorithm,Sequence modeling task taxonomy,Neural network mappings,Image → Sequence,1.3,no,weak,Continue through the current concept group 'Sequence modeling task taxonomy'; stopping here would interrupt the conceptual sequence.,"Narrate the procedure in order and emphasize inputs, outputs, and update rules."
7,LSTM,2,Image → Sequence,Image → Sequence,definition,Sequence modeling task taxonomy,Recurrent Neural Networks LSTM Fundamentals and Sequence Modeling with PyTorch,Sequence → Label,1.0,no,weak,Continue through the current concept group 'Sequence modeling task taxonomy'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,3,Sequence → Label,Sequence → Label,definition,Sequence modeling task taxonomy,Image → Sequence,Sequence → Sequence,1.0,no,weak,Continue through the current concept group 'Sequence modeling task taxonomy'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,4,Sequence → Sequence,Sequence → Sequence,definition,Sequence modeling task taxonomy,Sequence → Label,Frame Sequence → Label,1.0,no,weak,Continue through the current concept group 'Sequence modeling task taxonomy'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,5,Frame Sequence → Label,Frame Sequence → Label,definition,Sequence modeling task taxonomy,Sequence → Sequence,RNN recurrence,1.0,yes,strong,"Completes the concept group 'Sequence modeling task taxonomy' and the next slide begins 'RNN recurrence'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
7,LSTM,6,Recurrent Neural Network (RNN),Recurrent Neural Network (RNN),motivation,RNN recurrence and long-term dependency problem,Sequence inputs and outputs,RNN Parameter Sharing Across Time,0.9,no,weak,Continue through the current concept group 'RNN recurrence and long-term dependency problem'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
7,LSTM,7,RNN Parameter Sharing Across Time,RNN Parameter Sharing Across Time,motivation,RNN recurrence and long-term dependency problem,Recurrent Neural Network (RNN),Why Standard RNNs Struggle with Long-Term Dependencies,0.9,no,weak,Continue through the current concept group 'RNN recurrence and long-term dependency problem'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
7,LSTM,8,Why Standard RNNs Struggle with Long-Term Dependencies,Why Standard RNNs Struggle with Long-Term Dependencies,motivation,RNN recurrence and long-term dependency problem,RNN Parameter Sharing Across Time,LSTM gates,0.9,yes,strong,"Completes the concept group 'RNN recurrence and long-term dependency problem' and the next slide begins 'LSTM gates'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Use this slide to establish why the topic matters before adding formal detail. Add a brief recap or checkpoint here before moving on.
7,LSTM,9,LSTM Cell Overview,LSTM Cell Overview,transition,LSTM cell gates state update and parameter count,RNN hidden state,LSTM,0.7,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
7,LSTM,10,LSTM,LSTM,definition,LSTM cell gates state update and parameter count,LSTM Cell Overview,LSTM,1.0,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,11,LSTM,LSTM,definition,LSTM cell gates state update and parameter count,LSTM,Forget Gate,1.0,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,12,Forget Gate,Forget Gate,definition,LSTM cell gates state update and parameter count,LSTM,Activation Functions in LSTM: Sigmoid and Tanh,1.0,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,13,Activation Functions in LSTM: Sigmoid and Tanh,Activation Functions in LSTM: Sigmoid and Tanh,definition,LSTM cell gates state update and parameter count,Forget Gate,Input Gate,1.0,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,14,Input Gate,Input Gate,definition,LSTM cell gates state update and parameter count,Activation Functions in LSTM: Sigmoid and Tanh,Cell State Update,1.0,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,15,Cell State Update,Cell State Update,definition,LSTM cell gates state update and parameter count,Input Gate,Output gate,1.0,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
7,LSTM,16,Output gate,Output gate,definition,LSTM cell gates state update and parameter count,Cell State Update,Parameter count = 4 h(h + x + 1),1.0,no,weak,Continue through the current concept group 'LSTM cell gates state update and parameter count'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
