lecture_number,lecture_title,slide_number,slide_title,core_concept,slide_role,concept_group,prerequisite_concept,next_concept,estimated_teaching_minutes,logical_boundary_after_slide,boundary_strength,boundary_reason,notes_for_future_script
1,CNN,1,ECE491/591 Deep Learning Convolutional Neural Networks (CNNs),ECE491/591 Deep Learning Convolutional Neural Networks (CNNs),definition,CNN lecture framing,Deep learning basics,MLP refresher,1.0,yes,medium,"Completes the concept group 'CNN lecture framing' and the next slide begins 'MLP refresher'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
1,CNN,2,Basic Neural Networks,Basic Neural Networks,definition,MLP and neural network refresher,Neural network function approximation,Multilayer Perceptron (MLP) Architecture,1.0,no,weak,Continue through the current concept group 'MLP and neural network refresher'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
1,CNN,3,Multilayer Perceptron (MLP) Architecture,Multilayer Perceptron (MLP) Architecture,visualization,MLP and neural network refresher,Basic Neural Networks,Neuron,1.0,no,weak,Continue through the current concept group 'MLP and neural network refresher'; stopping here would interrupt the conceptual sequence.,Describe the visual structure explicitly for online viewers who may be watching on a small screen.
1,CNN,4,Neuron,Neuron,definition,MLP and neural network refresher,Multilayer Perceptron (MLP) Architecture,Activation Functions: Examples,1.0,no,weak,Continue through the current concept group 'MLP and neural network refresher'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
1,CNN,5,Activation Functions: Examples,Activation Functions: Examples,example,MLP and neural network refresher,Neuron,Neural Network Training Process,1.2,no,weak,Continue through the current concept group 'MLP and neural network refresher'; stopping here would interrupt the conceptual sequence.,Walk through the example step by step; avoid summarizing before the learner sees the complete case.
1,CNN,6,Neural Network Training Process,Neural Network Training Process,algorithm,MLP and neural network refresher,Activation Functions: Examples,Neural Network Playground,1.3,no,weak,Continue through the current concept group 'MLP and neural network refresher'; stopping here would interrupt the conceptual sequence.,"Narrate the procedure in order and emphasize inputs, outputs, and update rules."
1,CNN,7,Neural Network Playground,Neural Network Playground,example,MLP and neural network refresher,Neural Network Training Process,Image data motivation,1.2,yes,strong,"Completes the concept group 'MLP and neural network refresher' and the next slide begins 'Image data motivation'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Walk through the example step by step; avoid summarizing before the learner sees the complete case. Add a brief recap or checkpoint here before moving on.
1,CNN,8,CIFAR-10 Benchmark Dataset,CIFAR-10 Benchmark Dataset,motivation,Image datasets and CNN motivation,MLP limitations for images,ImageNet Dataset,0.9,no,weak,Continue through the current concept group 'Image datasets and CNN motivation'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
1,CNN,9,ImageNet Dataset,ImageNet Dataset,motivation,Image datasets and CNN motivation,CIFAR-10 Benchmark Dataset,Why Not Just Use an MLP for Images?,0.9,no,weak,Continue through the current concept group 'Image datasets and CNN motivation'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
1,CNN,10,Why Not Just Use an MLP for Images?,Why Not Just Use an MLP for Images?,motivation,Image datasets and CNN motivation,ImageNet Dataset,ImageNet Large Scale Visual Recognition Challenge (ILSVRC),0.9,no,weak,Continue through the current concept group 'Image datasets and CNN motivation'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
