lecture_number,lecture_title,original_pptx,slide_number,possible_slide_title,visible_text
3,Loss Function,3  - Loss Function.pptx,1,"Loss Function for Classification:
From Linear Scores to Softmax & Cross-Entropy","Loss Function for Classification:
From Linear Scores to
Softmax
& Cross-Entropy
Yifeng Zhu
Electrical and Computer Engineering
University of Maine
1"
3,Loss Function,3  - Loss Function.pptx,2,Model = Score Function + Loss Function,"Model = Score Function + Loss Function
Model outputs scores (logits) for each class
Loss function measures how wrong predictions are
Training = minimize average loss over dataset
2"
3,Loss Function,3  - Loss Function.pptx,3,Mathematical Model,"Mathematical Model
3
We define a model that maps inputs to scores. We then define a loss function to measure how wrong the model is."
3,Loss Function,3  - Loss Function.pptx,4,Popular activation functions,"4
Popular activation functions
Activation functions introduce nonlinearity, enabling the network to model nonlinear decision boundaries."
3,Loss Function,3  - Loss Function.pptx,5,Training = Optimization via Gradient Descent,"Goal: Minimize the Loss Function
Training = Optimization via Gradient Descent
5
Update Rule:
Where:
We move in the opposite direction of gradient to reduce loss."
3,Loss Function,3  - Loss Function.pptx,6,Gradient Descent: Core Idea,"Gradient Descent: Core Idea
6"
3,Loss Function,3  - Loss Function.pptx,7,Gradient Descent: Step 1 Initialization,"Gradient
Descent: Step 1 Initialization
Pick random starting point.
x
f(x)
7"
3,Loss Function,3  - Loss Function.pptx,8,Gradient Descent : Step 2 Compute Gradient,"Gradient
Descent : Step 2 Compute Gradient
Compute gradient at point (analytically or by finite differences)
x
f(x)
8"
3,Loss Function,3  - Loss Function.pptx,9,Gradient Descent : Step 3 Parameter Update,"Gradient
Descent : Step 3 Parameter Update
Move along parameter space in direction of negative gradient
x
f(x)
9"
3,Loss Function,3  - Loss Function.pptx,10,Gradient Descent: Step 4 Iterate,"Gradient
Descent: Step 4 Iterate
Move along parameter space in direction of negative gradient.
x
f(x)
10"
3,Loss Function,3  - Loss Function.pptx,11,Gradient Descent: Convergence Condition,"Gradient
Descent: Convergence Condition
Stop when we don’t move any more.
x
f(x)
11"
