lecture_number,lecture_title,original_pptx,slide_number,possible_slide_title,visible_text
8,Transformer,8 -Transformer.pptx,1,"Transformers
From Seq2Seq Bottlenecks to Attention and Transformers","Transformers
From Seq2Seq Bottlenecks to Attention and Transformers
Yifeng Zhu
Electrical and Computer Engineering
University of Maine
1"
8,Transformer,8 -Transformer.pptx,2,Roadmap: From Seq2Seq to Transformers,"Roadmap: From Seq2Seq to Transformers
2
Why
vanilla seq2seq
struggles with long sequences
How
attention
addresses the encoder–decoder bottleneck
What
self-attention
is and why it matters
How
query, key, and value
produce attention weights
How
multi-head attention
and
positional encoding
enable Transformers"
8,Transformer,8 -Transformer.pptx,3,Sequence-to-Sequence (seq2seq): Basic Idea,"Sequence-to-Sequence (seq2seq): Basic Idea
Maps an
input sequence
to an
output sequence
Input and output may have
different lengths
Uses two RNNs:
Encoder
: reads the source sequence
Decoder
: generates the target sequence
Example:
Translate “The brown dog ran” to French.
3"
8,Transformer,8 -Transformer.pptx,4,Seq2Seq: Encoder Reads the Input,"Hidden layer
Input layer
h
1
𝐸
h
2
𝐸
h
3
𝐸
h
4
𝐸
The
brown
dog
ran
ENCODER RNN
Seq2Seq: Encoder Reads the Input
4"
8,Transformer,8 -Transformer.pptx,5,Seq2Seq: Final Encoder State,"Input layer
Hidden layer
h
1
𝐸
h
2
𝐸
h
3
𝐸
h
4
𝐸
The
brown
dog
ran
The final hidden state of the encoder RNN is the initial state of the decoder RNN
ENCODER RNN
Seq2Seq: Final Encoder State
5"
8,Transformer,8 -Transformer.pptx,6,Seq2Seq: Decoder Initialization,"ENCODER RNN
DECODER RNN
Input layer
Hidden layer
h
1
𝐸
h
2
𝐸
h
3
𝐸
h
4
𝐸
The
brown
dog
ran
h
1
𝐷
<s>
The final hidden state of the encoder RNN is the initial state of the decoder RNN
Seq2Seq: Decoder Initialization
6"
8,Transformer,8 -Transformer.pptx,7,Seq2Seq: Predicting the First Token,"Hidden layer
ENCODER RNN
DECODER RNN
The final hidden state of the encoder RNN is the initial state of the decoder RNN
Input layer
h
1
𝐸
h
2
𝐸
h
3
𝐸
h
4
𝐸
The
brown
dog
ran
h
1
𝐷
<s>
Le
Seq2Seq: Predicting the First Token
7"
8,Transformer,8 -Transformer.pptx,8,Seq2Seq: Completing the Decoding Process,"ENCODER RNN
DECODER RNN
Decoding happens step by step.
Seq2Seq: Completing the Decoding Process
8
Input layer
Hidden layer
h
1
𝐸
h
2
𝐸
h
3
𝐸
h
4
𝐸
The
brown
dog
ran
h
1
𝐷
h
2
𝐷
<s>
chien
a
couru
h
3
𝐷
h
4
𝐷
h
5
𝐷
Le
h
6
𝐷
Le
chien
a
couru
</s>
marron
marron"
8,Transformer,8 -Transformer.pptx,9,Seq2Seq: Training with Teacher Forcing,"ENCODER RNN
DECODER RNN
Training: decoder loss updates both encoder and decoder weights.
Seq2Seq: Training with Teacher Forcing
9
Input layer
Hidden layer
h
1
𝐸
h
2
𝐸
h
3
𝐸
h
4
𝐸
The
brown
dog
ran
h
1
𝐷
h
2
𝐷
h
3
𝐷
Le
chien
a
h
4
𝐷
h
5
𝐷
couru
𝑦
1
𝑦
2
𝑦
3
𝑦
4
𝑦
5
marron"
8,Transformer,8 -Transformer.pptx,10,Seq2Seq: Information Bottleneck,"Seq2Seq: Information Bottleneck
The entire source sequence is compressed into
one fixed context vector
The decoder cannot directly revisit earlier encoder states
This becomes more problematic for
longer sequences
This bottleneck motivates attention.
ENCODER RNN
DECODER RNN
10
Input layer
Hidden layer
h
1
𝐸
h
2
𝐸
h
3
𝐸
h
4
𝐸
The
brown
dog
ran
h
1
𝐷
h
2
𝐷
h
3
𝐷
Le
chien
a
h
4
𝐷
h
5
𝐷
couru
𝑦
1
𝑦
2
𝑦
3
𝑦
4
𝑦
5
marron"
