lecture_number,lecture_title,original_pptx,slide_number,possible_slide_title,visible_text
1,CNN,1 - CNN.pptx,1,"ECE491/591 Deep Learning
Convolutional Neural Networks (CNNs)","ECE
491/591
Deep Learning
Convolutional Neural Networks (CNNs)
Yifeng Zhu
Electrical and Computer Engineering
University of Maine
1"
1,CNN,1 - CNN.pptx,2,Basic Neural Networks,"Basic Neural Networks
Multilayer Perceptron (MLP)
2"
1,CNN,1 - CNN.pptx,3,Multilayer Perceptron (MLP) Architecture,"Multilayer Perceptron (MLP) Architecture
3"
1,CNN,1 - CNN.pptx,4,Neuron,"Neuron
w1
w2
w3
f is the activation function. It introduces non-linearity into the networks.
4"
1,CNN,1 - CNN.pptx,5,Activation Functions: Examples,"Activation Functions: Examples
5"
1,CNN,1 - CNN.pptx,6,Neural Network Training Process,"Neural Network Training Process
Training Loop: Prediction, Error, and Update
6"
1,CNN,1 - CNN.pptx,7,Neural Network Playground,"Neural Network
Playground
Website link:
https://playground.tensorflow.org
7"
1,CNN,1 - CNN.pptx,8,CIFAR-10 Benchmark Dataset,"CIFAR-10 Benchmark Dataset
Widely used image classification benchmark dataset
60,000 color images
50,000 training images and 10,000 test images
Small resolution: 32 × 32 × 3
10 object classes
Used for prototyping
8"
1,CNN,1 - CNN.pptx,9,ImageNet Dataset,"ImageNet Dataset
Large-scale visual recognition dataset
Over 14 million labeled images
More than 20,000 object categories
Subset
used for benchmarking: ImageNet Large Scale Visual Recognition Challenge (
ILSVRC
)
Usually resized to
224x224
or
256x256
pixels
1,000 classes
Over
1.2 million
images
Images collected from the web and human-annotated
Standard benchmark for deep learning in computer vision
Enabled breakthroughs in CNN architectures (e.g.,
AlexNet
, VGG,
ResNet
)
Top-5 error metric widely used for evaluation
Catalyst for modern deep learning revolution (post-2012)
9"
1,CNN,1 - CNN.pptx,10,Why Not Just Use an MLP for Images?,"Why Not Just Use an MLP for Images?
Example: 32×32×3 image → 3072 inputs
Hidden layer (1000 neurons) → 3 million parameters
Problems:
Too many parameters
No spatial structure
MLP ignores 2D geometry and local relationships.
No translation invariance
Shifted objects are treated as new patterns.
Overfitting risk
Millions of parameters relative to dataset size.
10"
